UniqueCount	AmbigCount
0	0
0	1
0	1
9	282
2	228
2	112
5	0
0	544
0	1625
0	1630
0	1625
0	1625
0	1631
0	21
0	20
0	20
0	21
0	17
0	7
0	1
0	498
0	1
0	7
0	505
0	7
0	2
0	3
0	3
0	1
0	1
0	7
0	7
0	0
0	8
0	1
0	14
0	1
0	3
0	154
0	0
0	7
0	1
0	1
0	2
0	0
0	1
0	478
0	2
0	0
0	0
0	6
0	0
0	1
0	3
0	0
0	0
0	0
0	6
0	2
0	4
0	154
0	12
0	0
0	2
0	7
0	0
2	3
0	245
0	1
0	7
0	0
0	0
7	43
0	0
0	0
0	0
0	0
0	11
0	1
0	3
1	2
1	25
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	7
0	7
0	7
0	160
0	7
0	7
0	7
0	7
0	2
0	8
0	7
0	0
0	1
0	1
0	7
0	3
0	3
0	2
0	7
0	4
0	8
0	8
0	1
0	154
0	6
0	1
0	0
0	1
0	1
0	1
0	1
0	153
0	0
0	153
0	478
0	3
0	505
0	505
0	506
0	498
0	3
0	3
0	3
0	6
0	4
0	0
0	0
0	2043
0	5
0	9
0	2038
0	22
0	2038
0	2038
0	556
0	7
0	21
0	21
0	9
0	3
0	9
0	10
0	2043
0	624
0	9
0	11
0	8
0	12
0	9
0	2038
0	21
0	8
0	11
0	9
0	6
0	40
0	624
0	626
0	23
0	17
0	22
0	10
0	546
0	548
0	548
0	10
0	11
0	10
0	11
0	9
0	9
0	38
0	546
4	3
0	23
0	14
0	9
0	544
0	19
0	19
0	13
0	9
0	10
0	11
0	6
0	9
0	12
0	40
0	546
0	544
0	9
0	8
0	9
47	143
0	23
0	11
0	13
0	545
0	13
1	6
0	9
0	625
0	15
8	28
0	9
0	9
0	624
0	541
3	9
0	8
0	10
0	10
0	8
0	11
0	5
0	10
0	14
0	59
0	21
0	103
0	20
0	37
0	16
0	22
0	6
0	626
0	35
0	23
0	9
0	9
0	9
0	3
0	22
0	9
0	5
0	6
0	14
0	1
0	0
0	0
0	195
0	1
0	0
0	140
0	140
84	350
0	2
0	5
0	12
0	3
0	3
0	10
0	10
0	10
0	0
0	4
0	11
0	9
4	14
0	11
0	12
0	4
0	7
0	9
0	10
0	10
0	11
0	9
0	9
0	10
0	9
0	11
0	8
0	11
0	10
0	9
0	5
0	6
0	8
0	11
0	6
0	10
0	12
0	9
1	13
0	552
0	543
0	545
0	546
0	548
0	590
0	589
0	591
0	14
0	11
0	13
0	10
2	12
43	643
0	18
0	14
0	31
0	22
0	16
0	23
0	23
0	21
0	21
0	22
0	9
0	624
0	624
0	626
0	627
0	627
0	624
0	41
0	40
0	10
0	13
0	29
0	2038
0	2038
0	2038
0	2044
0	2038
0	2043
1	26
0	19
0	20
0	16
0	0
0	0
0	14
0	6
0	6
0	3
0	506
0	478
0	1
0	6
0	3
0	7
0	4
0	3
2	3
0	0
0	0
0	163
0	0
0	0
0	76
0	0
0	41
0	0
0	21
0	19
0	19
0	15
0	23
0	22
0	22
0	10
0	624
0	624
0	627
0	624
0	624
0	628
0	626
0	627
0	41
0	60
0	23
0	8
0	2039
0	2038
0	2044
0	2038
0	2038
0	2043
0	20
0	16
0	20
0	0
0	0
0	7
0	0
0	1
0	6
0	7
0	3
0	2
0	1
0	8
0	2
0	2
0	3
0	1
0	160
0	1
0	3
0	1
0	155
0	7
0	3
0	7
0	7
0	1
0	1
0	2
0	6
0	0
0	0
0	0
0	497
0	7
0	0
0	7
0	1
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	505
0	7
0	1
0	506
0	1
0	1
0	1
0	153
0	8
0	160
0	1
0	7
0	0
0	1
0	6
0	478
0	7
0	3
0	1
0	13
0	7
0	4
0	7
0	2
0	1
0	0
0	0
8	208
0	0
0	0
0	0
0	0
0	0
0	1
0	7
0	7
0	7
0	160
0	7
0	7
0	7
0	7
0	245
0	7
0	1
0	2
0	0
0	2
0	4
0	2
0	1
0	0
0	2
0	1
0	0
0	977
1	2
0	0
0	0
0	206
0	0
0	0
0	0
1	215
0	240
0	0
0	0
0	210
0	0
0	0
5	0
0	0
103	4001
66	0
0	210
23	15
0	6
0	0
0	0
0	0
0	4001
0	240
0	202
0	210
0	0
0	210
3	210
0	6
0	0
0	0
0	210
5	7
0	0
0	0
0	0
0	0
0	8
0	4
0	2
0	6
0	10
